"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";1;"100n";;;
2;"UIn1";"Potentiometer_Bourns_3296W_Vertical";1;"470K Hвх";;;
3;"C2,C5";"CP_Radial_D10.0mm_P3.80mm";2;"470Mф 15В";;;
4;"Q3";"Soviet-GT402";1;"ГТ402";;;
5;"R4,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"2K";;;
6;"Uout1";"Potentiometer_Bourns_3296W_Vertical";1;"10K Hвых";;;
7;"J1";"PinSocket_1x02_P2.54mm_Vertical";1;"Выход";;;
8;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10K";;;
9;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"3K";;;
10;"D2,D1";"D9";2;"Д9";;;
11;"Q2";"Soviet-MP38";1;"MП38";;;
12;"Q4";"Soviet-GT402";1;"ГT404";;;
13;"C4,C3";"CP_Radial_D5.0mm_P2.50mm";2;"5Mф 15В";;;
14;"J2";"PinSocket_1x03_P2.54mm_Vertical";1;"Кнтрл";;;
15;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"360";;;
16;"J4";"PinSocket_1x02_P2.54mm_Vertical";1;"Вход";;;
17;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10";;;
18;"Q1";"Soviet-GT308";1;"ГT308";;;
19;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"6.2K";;;
20;"J3";"PinSocket_1x02_P2.54mm_Vertical";1;"Пит";;;
21;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"150";;;
